date,dimension_name,dimension_value,kpi_name,kpi_value
2024-01-01,order_channel,affiliate,total_revenue_usd,733.98
2024-01-01,order_channel,direct,total_revenue_usd,586.9
2024-01-01,order_channel,email,total_revenue_usd,1255.68
2024-01-01,order_channel,organic_search,total_revenue_usd,3486.12
2024-01-01,order_channel,paid_search,total_revenue_usd,2261.17
2024-01-01,order_channel,referral,total_revenue_usd,663.01
2024-01-01,order_channel,social,total_revenue_usd,1683.14
2024-01-02,order_channel,affiliate,total_revenue_usd,474.79
2024-01-02,order_channel,direct,total_revenue_usd,863.98
2024-01-02,order_channel,email,total_revenue_usd,2263.72
2024-01-02,order_channel,organic_search,total_revenue_usd,3652.08
2024-01-02,order_channel,paid_search,total_revenue_usd,2071.02
2024-01-02,order_channel,referral,total_revenue_usd,416.73
2024-01-02,order_channel,social,total_revenue_usd,1476.68
2024-01-03,order_channel,affiliate,total_revenue_usd,739.91
2024-01-03,order_channel,direct,total_revenue_usd,986.12
2024-01-03,order_channel,email,total_revenue_usd,1833.08
2024-01-03,order_channel,organic_search,total_revenue_usd,4300.56
2024-01-03,order_channel,paid_search,total_revenue_usd,1834.43
2024-01-03,order_channel,referral,total_revenue_usd,491.26
2024-01-03,order_channel,social,total_revenue_usd,765.18
2024-01-04,order_channel,affiliate,total_revenue_usd,357.61
2024-01-04,order_channel,direct,total_revenue_usd,689.52
2024-01-04,order_channel,email,total_revenue_usd,2393.39
2024-01-04,order_channel,organic_search,total_revenue_usd,2830.59
2024-01-04,order_channel,paid_search,total_revenue_usd,1822.17
2024-01-04,order_channel,referral,total_revenue_usd,240.13
2024-01-04,order_channel,social,total_revenue_usd,1876.41
2024-01-05,order_channel,affiliate,total_revenue_usd,701.32
2024-01-05,order_channel,direct,total_revenue_usd,840.14
2024-01-05,order_channel,email,total_revenue_usd,1435.55
2024-01-05,order_channel,organic_search,total_revenue_usd,3082.72
2024-01-05,order_channel,paid_search,total_revenue_usd,1890.14
2024-01-05,order_channel,referral,total_revenue_usd,784.41
2024-01-05,order_channel,social,total_revenue_usd,1506.86
2024-01-06,order_channel,affiliate,total_revenue_usd,372.9
2024-01-06,order_channel,direct,total_revenue_usd,1068.02
2024-01-06,order_channel,email,total_revenue_usd,2375.35
2024-01-06,order_channel,organic_search,total_revenue_usd,3007.05
2024-01-06,order_channel,paid_search,total_revenue_usd,2278.34
2024-01-06,order_channel,referral,total_revenue_usd,334.54
2024-01-06,order_channel,social,total_revenue_usd,784.83
2024-01-07,order_channel,affiliate,total_revenue_usd,465.91
2024-01-07,order_channel,direct,total_revenue_usd,1321.74
2024-01-07,order_channel,email,total_revenue_usd,1755.99
2024-01-07,order_channel,organic_search,total_revenue_usd,2242.81
2024-01-07,order_channel,paid_search,total_revenue_usd,1888.94
2024-01-07,order_channel,referral,total_revenue_usd,95.7
2024-01-07,order_channel,social,total_revenue_usd,1412.83
2024-01-08,order_channel,affiliate,total_revenue_usd,493.03
2024-01-08,order_channel,direct,total_revenue_usd,1416.43
2024-01-08,order_channel,email,total_revenue_usd,1913.99
2024-01-08,order_channel,organic_search,total_revenue_usd,3129.48
2024-01-08,order_channel,paid_search,total_revenue_usd,1554.65
2024-01-08,order_channel,referral,total_revenue_usd,177.25
2024-01-08,order_channel,social,total_revenue_usd,1370.57
2024-01-09,order_channel,affiliate,total_revenue_usd,616.2
2024-01-09,order_channel,direct,total_revenue_usd,1016.07
2024-01-09,order_channel,email,total_revenue_usd,1759.26
2024-01-09,order_channel,organic_search,total_revenue_usd,3079.42
2024-01-09,order_channel,paid_search,total_revenue_usd,1637.76
2024-01-09,order_channel,referral,total_revenue_usd,323.55
2024-01-09,order_channel,social,total_revenue_usd,1080.78
2024-01-10,order_channel,affiliate,total_revenue_usd,323.65
2024-01-10,order_channel,direct,total_revenue_usd,1275.46
2024-01-10,order_channel,email,total_revenue_usd,1318.5
2024-01-10,order_channel,organic_search,total_revenue_usd,3266.5
2024-01-10,order_channel,paid_search,total_revenue_usd,1711.49
2024-01-10,order_channel,referral,total_revenue_usd,261.62
2024-01-10,order_channel,social,total_revenue_usd,1321.91
2024-01-11,order_channel,affiliate,total_revenue_usd,445.88
2024-01-11,order_channel,direct,total_revenue_usd,1043.25
2024-01-11,order_channel,email,total_revenue_usd,1526.34
2024-01-11,order_channel,organic_search,total_revenue_usd,2287.61
2024-01-11,order_channel,paid_search,total_revenue_usd,2143.5
2024-01-11,order_channel,referral,total_revenue_usd,419.28
2024-01-11,order_channel,social,total_revenue_usd,1403.6
2024-01-12,order_channel,affiliate,total_revenue_usd,700.37
2024-01-12,order_channel,direct,total_revenue_usd,1366.3
2024-01-12,order_channel,email,total_revenue_usd,2510.52
2024-01-12,order_channel,organic_search,total_revenue_usd,2266.23
2024-01-12,order_channel,paid_search,total_revenue_usd,1968.61
2024-01-12,order_channel,referral,total_revenue_usd,237.02
2024-01-12,order_channel,social,total_revenue_usd,1029.03
2024-01-13,order_channel,affiliate,total_revenue_usd,849.24
2024-01-13,order_channel,direct,total_revenue_usd,1436.31
2024-01-13,order_channel,email,total_revenue_usd,1856.86
2024-01-13,order_channel,organic_search,total_revenue_usd,2298.82
2024-01-13,order_channel,paid_search,total_revenue_usd,1779.53
2024-01-13,order_channel,referral,total_revenue_usd,311.87
2024-01-13,order_channel,social,total_revenue_usd,1360.23
2024-01-14,order_channel,affiliate,total_revenue_usd,816.25
2024-01-14,order_channel,direct,total_revenue_usd,926.3
2024-01-14,order_channel,email,total_revenue_usd,1830.73
2024-01-14,order_channel,organic_search,total_revenue_usd,3063.51
2024-01-14,order_channel,paid_search,total_revenue_usd,1321.72
2024-01-14,order_channel,referral,total_revenue_usd,532.52
2024-01-14,order_channel,social,total_revenue_usd,1287.13
2024-01-15,order_channel,affiliate,total_revenue_usd,691.23
2024-01-15,order_channel,direct,total_revenue_usd,788.87
2024-01-15,order_channel,email,total_revenue_usd,1246.43
2024-01-15,order_channel,organic_search,total_revenue_usd,3400.12
2024-01-15,order_channel,paid_search,total_revenue_usd,1818.11
2024-01-15,order_channel,referral,total_revenue_usd,116.63
2024-01-15,order_channel,social,total_revenue_usd,1381.12
2024-01-16,order_channel,affiliate,total_revenue_usd,213.91
2024-01-16,order_channel,direct,total_revenue_usd,1694.77
2024-01-16,order_channel,email,total_revenue_usd,1365.52
2024-01-16,order_channel,organic_search,total_revenue_usd,2157.55
2024-01-16,order_channel,paid_search,total_revenue_usd,3140.72
2024-01-16,order_channel,referral,total_revenue_usd,267.95
2024-01-16,order_channel,social,total_revenue_usd,1237.97
2024-01-17,order_channel,affiliate,total_revenue_usd,682.25
2024-01-17,order_channel,direct,total_revenue_usd,857.94
2024-01-17,order_channel,email,total_revenue_usd,1579.69
2024-01-17,order_channel,organic_search,total_revenue_usd,2830.23
2024-01-17,order_channel,paid_search,total_revenue_usd,2090.55
2024-01-17,order_channel,referral,total_revenue_usd,148.79
2024-01-17,order_channel,social,total_revenue_usd,1332.68
2024-01-18,order_channel,affiliate,total_revenue_usd,425.31
2024-01-18,order_channel,direct,total_revenue_usd,728.26
2024-01-18,order_channel,email,total_revenue_usd,1366.45
2024-01-18,order_channel,organic_search,total_revenue_usd,3146.24
2024-01-18,order_channel,paid_search,total_revenue_usd,2823.97
2024-01-18,order_channel,referral,total_revenue_usd,390.92
2024-01-18,order_channel,social,total_revenue_usd,668.98
2024-01-19,order_channel,affiliate,total_revenue_usd,669.53
2024-01-19,order_channel,direct,total_revenue_usd,1180.62
2024-01-19,order_channel,email,total_revenue_usd,2071.74
2024-01-19,order_channel,organic_search,total_revenue_usd,3357.09
2024-01-19,order_channel,paid_search,total_revenue_usd,1422.9
2024-01-19,order_channel,referral,total_revenue_usd,210.31
2024-01-19,order_channel,social,total_revenue_usd,614.5
2024-01-20,order_channel,affiliate,total_revenue_usd,442.4
2024-01-20,order_channel,direct,total_revenue_usd,1117.08
2024-01-20,order_channel,email,total_revenue_usd,1559.98
2024-01-20,order_channel,organic_search,total_revenue_usd,2613.8
2024-01-20,order_channel,paid_search,total_revenue_usd,1696.84
2024-01-20,order_channel,referral,total_revenue_usd,529.02
2024-01-20,order_channel,social,total_revenue_usd,1441.44
2024-01-21,order_channel,affiliate,total_revenue_usd,449.22
2024-01-21,order_channel,direct,total_revenue_usd,791.61
2024-01-21,order_channel,email,total_revenue_usd,1526.59
2024-01-21,order_channel,organic_search,total_revenue_usd,3466.08
2024-01-21,order_channel,paid_search,total_revenue_usd,1920.38
2024-01-21,order_channel,referral,total_revenue_usd,407.84
2024-01-21,order_channel,social,total_revenue_usd,1141.76
2024-01-22,order_channel,affiliate,total_revenue_usd,373.53
2024-01-22,order_channel,direct,total_revenue_usd,1213.27
2024-01-22,order_channel,email,total_revenue_usd,1654.94
2024-01-22,order_channel,organic_search,total_revenue_usd,3188.01
2024-01-22,order_channel,paid_search,total_revenue_usd,1428.65
2024-01-22,order_channel,referral,total_revenue_usd,430.16
2024-01-22,order_channel,social,total_revenue_usd,826.28
2024-01-23,order_channel,affiliate,total_revenue_usd,307.46
2024-01-23,order_channel,direct,total_revenue_usd,971.89
2024-01-23,order_channel,email,total_revenue_usd,1406.73
2024-01-23,order_channel,organic_search,total_revenue_usd,3015.76
2024-01-23,order_channel,paid_search,total_revenue_usd,1955.44
2024-01-23,order_channel,referral,total_revenue_usd,393.53
2024-01-23,order_channel,social,total_revenue_usd,1539.58
2024-01-24,order_channel,affiliate,total_revenue_usd,534.77
2024-01-24,order_channel,direct,total_revenue_usd,1088.71
2024-01-24,order_channel,email,total_revenue_usd,2037.68
2024-01-24,order_channel,organic_search,total_revenue_usd,2847.39
2024-01-24,order_channel,paid_search,total_revenue_usd,1516.52
2024-01-24,order_channel,referral,total_revenue_usd,626.31
2024-01-24,order_channel,social,total_revenue_usd,1417.73
2024-01-25,order_channel,affiliate,total_revenue_usd,380.05
2024-01-25,order_channel,direct,total_revenue_usd,1440.12
2024-01-25,order_channel,email,total_revenue_usd,1183.11
2024-01-25,order_channel,organic_search,total_revenue_usd,3310.41
2024-01-25,order_channel,paid_search,total_revenue_usd,1842.63
2024-01-25,order_channel,referral,total_revenue_usd,602.26
2024-01-25,order_channel,social,total_revenue_usd,1320.8
2024-01-26,order_channel,affiliate,total_revenue_usd,950.71
2024-01-26,order_channel,direct,total_revenue_usd,1939.06
2024-01-26,order_channel,email,total_revenue_usd,1627.14
2024-01-26,order_channel,organic_search,total_revenue_usd,2709.07
2024-01-26,order_channel,paid_search,total_revenue_usd,1627.92
2024-01-26,order_channel,referral,total_revenue_usd,544.37
2024-01-26,order_channel,social,total_revenue_usd,995.13
2024-01-27,order_channel,affiliate,total_revenue_usd,588.75
2024-01-27,order_channel,direct,total_revenue_usd,526.71
2024-01-27,order_channel,email,total_revenue_usd,1407.0
2024-01-27,order_channel,organic_search,total_revenue_usd,3513.13
2024-01-27,order_channel,paid_search,total_revenue_usd,2119.31
2024-01-27,order_channel,referral,total_revenue_usd,73.66
2024-01-27,order_channel,social,total_revenue_usd,1898.67
2024-01-28,order_channel,affiliate,total_revenue_usd,739.03
2024-01-28,order_channel,direct,total_revenue_usd,955.22
2024-01-28,order_channel,email,total_revenue_usd,1747.52
2024-01-28,order_channel,organic_search,total_revenue_usd,2712.73
2024-01-28,order_channel,paid_search,total_revenue_usd,2632.91
2024-01-28,order_channel,referral,total_revenue_usd,251.89
2024-01-28,order_channel,social,total_revenue_usd,952.88
2024-01-29,order_channel,affiliate,total_revenue_usd,252.09
2024-01-29,order_channel,direct,total_revenue_usd,702.37
2024-01-29,order_channel,email,total_revenue_usd,2051.61
2024-01-29,order_channel,organic_search,total_revenue_usd,3261.74
2024-01-29,order_channel,paid_search,total_revenue_usd,1216.77
2024-01-29,order_channel,referral,total_revenue_usd,261.88
2024-01-29,order_channel,social,total_revenue_usd,1667.97
2024-01-30,order_channel,affiliate,total_revenue_usd,419.21
2024-01-30,order_channel,direct,total_revenue_usd,1631.81
2024-01-30,order_channel,email,total_revenue_usd,1071.99
2024-01-30,order_channel,organic_search,total_revenue_usd,2678.38
2024-01-30,order_channel,paid_search,total_revenue_usd,1988.68
2024-01-30,order_channel,referral,total_revenue_usd,445.87
2024-01-30,order_channel,social,total_revenue_usd,863.81
2024-01-31,order_channel,affiliate,total_revenue_usd,976.17
2024-01-31,order_channel,direct,total_revenue_usd,413.43
2024-01-31,order_channel,email,total_revenue_usd,2569.71
2024-01-31,order_channel,organic_search,total_revenue_usd,3253.94
2024-01-31,order_channel,paid_search,total_revenue_usd,1164.57
2024-01-31,order_channel,referral,total_revenue_usd,222.32
2024-01-31,order_channel,social,total_revenue_usd,779.31
2024-02-01,order_channel,affiliate,total_revenue_usd,319.37
2024-02-01,order_channel,direct,total_revenue_usd,913.62
2024-02-01,order_channel,email,total_revenue_usd,1413.28
2024-02-01,order_channel,organic_search,total_revenue_usd,2868.38
2024-02-01,order_channel,paid_search,total_revenue_usd,2407.57
2024-02-01,order_channel,referral,total_revenue_usd,261.11
2024-02-01,order_channel,social,total_revenue_usd,1004.31
2024-02-02,order_channel,affiliate,total_revenue_usd,320.99
2024-02-02,order_channel,direct,total_revenue_usd,652.79
2024-02-02,order_channel,email,total_revenue_usd,2052.0
2024-02-02,order_channel,organic_search,total_revenue_usd,2635.74
2024-02-02,order_channel,paid_search,total_revenue_usd,2047.21
2024-02-02,order_channel,referral,total_revenue_usd,502.66
2024-02-02,order_channel,social,total_revenue_usd,1430.59
2024-02-03,order_channel,affiliate,total_revenue_usd,927.19
